task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,1Header,1Column,1Par 1,1Prompt,1Answer,1Answer Column / Row
4,DS1_anime_plain1.png,33,1,anime,plain,1,Estimate Average,Completed,D,,"In the 'Completed' column, calculate a rough estimate of the average value",28.89655172413793,D
4,DS2_anime_plain2.png,34,2,anime,plain,2,Estimate Average,Ranked,F,,"In the 'Ranked' column, calculate a rough estimate of the average value",62.37931034482759,F
4,DS3_anime_plain3.png,35,3,anime,plain,3,Estimate Average,Completed,E,,"In the 'Completed' column, calculate a rough estimate of the average value",37.86206896551724,E
4,DS4_anime_plain4.png,36,4,anime,plain,4,Estimate Average,Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G
4,DS5_cereal_color1.png,5,5,cereal,color,1,Estimate Average,Vitamins,F,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448275862,F
4,DS6_cereal_color2.png,6,6,cereal,color,2,Estimate Average,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344827586207,E
4,DS7_cereal_color3.png,7,7,cereal,color,3,Estimate Average,Fat,D,,"In the 'Fat' column, calculate a rough estimate of the average value",35.62068965517241,D
4,DS8_cereal_color4.png,8,8,cereal,color,4,Estimate Average,Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",52.310344827586206,E
4,DS9_candy_bar1.png,57,9,candy,bar,1,Estimate Average,Chocolate,G,,"In the 'Chocolate' column, calculate a rough estimate of the average value",37.86206896551724,G
4,DS10_candy_bar2.png,58,10,candy,bar,2,Estimate Average,Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D
4,DS11_candy_bar3.png,59,11,candy,bar,3,Estimate Average,Fruity,F,,"In the 'Fruity' column, calculate a rough estimate of the average value",50.241379310344826,F
4,DS12_candy_bar4.png,60,12,candy,bar,4,Estimate Average,SugarPercent,G,,"In the 'SugarPercent' column, calculate a rough estimate of the average value",37.86206896551724,G
4,DS13_movie_zebra1.png,29,13,movie,zebra,1,Estimate Average,MrQE,E,,"In the 'MrQE' column, calculate a rough estimate of the average value",52.310344827586206,E
4,DS14_movie_zebra2.png,30,14,movie,zebra,2,Estimate Average,IMDB,G,,"In the 'IMDB' column, calculate a rough estimate of the average value",37.86206896551724,G
4,DS15_movie_zebra3.png,31,15,movie,zebra,3,Estimate Average,Netflix,F,,"In the 'Netflix' column, calculate a rough estimate of the average value",50.241379310344826,F
4,DS16_movie_zebra4.png,32,16,movie,zebra,4,Estimate Average,Roger Ebert,E,,"In the 'Roger Ebert' column, calculate a rough estimate of the average value",52.310344827586206,E
5,DS1_anime_plain1.png,33,1,anime,plain,1,Retrieve Value,Watching,G,15,"In the 'Watching' column, find the  with a value equal to '15' ",Helping Alice,16
5,DS2_anime_plain2.png,34,2,anime,plain,2,Retrieve Value,On-Hold,H,26,"In the 'On-Hold' column, find the  with a value equal to '26' ",Attacking Titan,20
5,DS3_anime_plain3.png,35,3,anime,plain,3,Retrieve Value,On-Hold,I,17,"In the 'On-Hold' column, find the  with a value equal to '17' ",Ultimate horror,16
5,DS4_anime_plain4.png,36,4,anime,plain,4,Retrieve Value,Popularity,J,12,"In the 'Popularity' column, find the  with a value equal to '12' ",Helping Alice,18
5,DS5_cereal_color1.png,5,5,cereal,color,1,Retrieve Value,Iron,K,51,"In the 'Iron' column, find the  with a value equal to '51' ",Corn Favorite,17
5,DS6_cereal_color2.png,6,6,cereal,color,2,Retrieve Value,Carbo,H,32,"In the 'Carbo' column, find the  with a value equal to '32' ",Fruity Pebbles,19
5,DS7_cereal_color3.png,7,7,cereal,color,3,Retrieve Value,Potassium,I,83,"In the 'Potassium' column, find the  with a value equal to '83' ",Corn Favorite,17
5,DS8_cereal_color4.png,8,8,cereal,color,4,Retrieve Value,Fat,K,26,"In the 'Fat' column, find the  with a value equal to '26' ",Wonderful Chex,20
5,DS9_candy_bar1.png,57,9,candy,bar,1,Retrieve Value,Pluribus,J,32,"In the 'Pluribus' column, find the  with a value equal to '32' ",Pixie Sticks,19
5,DS10_candy_bar2.png,58,10,candy,bar,2,Retrieve Value,Price,K,68,"In the 'Price' column, find the  with a value equal to '68' ",Hersheys Kisses,17
5,DS11_candy_bar3.png,59,11,candy,bar,3,Retrieve Value,Rating,L,26,"In the 'Rating' column, find the  with a value equal to '26' ",Fruit Chews,11
5,DS12_candy_bar4.png,60,12,candy,bar,4,Retrieve Value,Rating,K,15,"In the 'Rating' column, find the  with a value equal to '15' ",Quarter World,15
5,DS13_movie_zebra1.png,29,13,movie,zebra,1,Retrieve Value,Film Comment,J,67,"In the 'Film Comment' column, find the  with a value equal to '67' ",Black Sea,20
5,DS14_movie_zebra2.png,30,14,movie,zebra,2,Retrieve Value,PluggedIn,I,79,"In the 'PluggedIn' column, find the  with a value equal to '79' ",Hot Pursuit,18
5,DS15_movie_zebra3.png,31,15,movie,zebra,3,Retrieve Value,Naver,L,73,"In the 'Naver' column, find the  with a value equal to '73' ",South Paw,19
5,DS16_movie_zebra4.png,32,16,movie,zebra,4,Retrieve Value,Film Comment,K,31,"In the 'Film Comment' column, find the  with a value equal to '31' ",Fantastic Four,17
