Task id,Table png,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header, Column,Par 1, Prompt , Expected Answer, Answer Column / Row,
1,DS7_cereal_plain3.png,39,7,cereal,plain,3,Filter,Score,J,45,"In the 'Score' column, count how many cells exceed the value of '45' ",6,J,
1,DS8_cereal_plain4.png,40,8,cereal,plain,4,Filter,Vitamins,K,60,"In the 'Vitamins' column, count how many cells exceed the value of '60' ",7,K,
2,task2\\T2_DS1_anime_zebra1.png,17,1,anime,zebra,1,Correlation,Episodes,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Favorites,I,
2,task2\\T2_DS2_anime_zebra2.png,18,2,anime,zebra,2,Correlation,"Plan to Watch",C,0,"Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ",Episodes,L,
2,task2\\T2_DS3_anime_zebra3.png,19,3,anime,zebra,3,Correlation,Completed,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,"Plan to Watch",K,
2,task2\\T2_DS4_anime_zebra4.png,20,4,anime,zebra,4,Correlation,Score,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,On-Hold,J,
2,task2\\T2_DS13_movie_color1.png,13,13,movie,color,1,Correlation,Naver,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Naver,I,
2,task2\\T2_DS14_movie_color2.png,14,14,movie,color,2,Correlation,MrQE,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,"Rotten Tomatoes",L,
2,task2\\T2_DS15_movie_color3.png,15,15,movie,color,3,Correlation,"Rotten Tomatoes",C,0,"Determine which of the last 5 columns is most positively correalated with the first column named 'Rotten Tomatoes' ","Film Comment",K,
2,task2\\T2_DS16_movie_color4.png,16,16,movie,color,4,Correlation,IMDB,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Netflix,J,
2,task2\\T2_DS9_candy_bar1.png,57,9,candy,bar,1,Correlation,Hard,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Almond,L,
2,task2\\T2_DS10_candy_bar2.png,58,10,candy,bar,2,Correlation,"Sugar Percent",C,0,"Determine which of the last 5 columns is most positively correalated with the first column named 'Sugar Percent' ",Caramel,J,
2,task2\\T2_DS11_candy_bar3.png,59,11,candy,bar,3,Correlation,Rating,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Bar,K,
2,task2\\T2_DS12_candy_bar4.png,60,12,candy,bar,4,Correlation,Hard,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Bar,I,
2,task2\\T2_DS5_cereal_plain1.png,37,5,cereal,plain,1,Correlation,Potassium,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sodium,K,
2,task2\\T2_DS6_cereal_plain2.png,38,6,cereal,plain,2,Correlation,Calories,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Potassium,I,
2,task2\\T2_DS7_cereal_plain3.png,39,7,cereal,plain,3,Correlation,Iron,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Score,J,
2,task2\\T2_DS8_cereal_plain4.png,40,8,cereal,plain,4,Correlation,Vitamins,C,0,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Fiber,L,
3,DS1_anime_zebra1.png,17,1,anime,zebra,1,Sort,Completed,L,60 59 56,"In the 'Completed' column, give the row names of the animes with the highest 3 values in descending order ",Hungry Heart-Monster Hunter-Fighting Animal,13 3 18,
3,DS2_anime_zebra2.png,18,2,anime,zebra,2,Sort,Favorites,I,88 86 83,"In the 'Favorites' column, give the row names of the animes with the highest 3 values in descending order ",Cursing Notebook-Fourth Stage-Hungry Heart,5 18 6,
3,DS3_anime_zebra3.png,19,3,anime,zebra,3,Sort,Episodes,J,75 73 71,"In the 'Episodes' column, give the row names of the animes with the highest 3 values in descending order ",Fighting Animal-Legendary Forks-First Stage,5 10 11,
3,DS4_anime_zebra4.png,20,4,anime,zebra,4,Sort,Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Helping Alice-Neon Genesis-Queen Kingdom,6 24 22,
3,DS13_movie_color1.png,13,13,movie,color,1,Sort,Naver,I,71 70 68,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,21 16 17,
3,DS14_movie_color2.png,14,14,movie,color,2,Sort,"Film Comment",K,75 73 71,"In the 'Film Comment' column, give the row names of the movies with the highest 3 values in descending order ",About Elly-Love Mercy-Welcome Home,5 21 20,
3,DS15_movie_color3.png,15,15,movie,color,3,Sort,PluggedIn,H,98 84 80,"In the 'PluggedIn' column, give the row names of the movies with the highest 3 values in descending order ",Tomorrow land-Black Sea-South Paw,10 9 20,
3,DS16_movie_color4.png,16,16,movie,color,4,Sort,Netflix,J,71 70 68,"In the 'Netflix' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,18 6 10,
3,DS9_candy_bar1.png,57,9,candy,bar,1,Sort,Caramel,H,98 84 80,"In the 'Caramel' column, give the row names of the candys with the highest 3 values in descending order ",Lemon Head-Junior Mints-Gob Stopper,30 9 11,
3,DS10_candy_bar2.png,58,10,candy,bar,2,Sort,Price,K,75 73 71,"In the 'Price' column, give the row names of the candys with the highest 3 values in descending order ",Now Later-Milk Duds-Crunch Time,31 8 26,
3,DS11_candy_bar3.png,59,11,candy,bar,3,Sort,Rating,L,75 73 71,"In the 'Rating' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Air Heads-Caramel Apple,27 12 28,
3,DS12_candy_bar4.png,60,12,candy,bar,4,Sort,Almond,J,98 97 95,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Reese Pieces-Cheese Bears-Berry Chews,30 19 16,
3,DS5_cereal_plain1.png,37,5,cereal,plain,1,Sort,Carbo,H,88 86 83,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Oatmeal Crisp-Wheat Cream-Grape Flakes,5 19 20,
3,DS6_cereal_plain2.png,38,6,cereal,plain,2,Sort,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Corn Favorite-Frosted Flakes-Natural Bran,22 3 7,
3,DS7_cereal_plain3.png,39,7,cereal,plain,3,Sort,Score,J,60 56 53,"In the 'Score' column, give the row names of the cereals with the highest 3 values in descending order ",Count Chocula-Wonderful Chex-Almond Delight,7 23 18,
3,DS8_cereal_plain4.png,40,8,cereal,plain,4,Sort,Vitamins,K,75 73 71,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Count Chocula-Bran Chex,16 10 19,
4,DS1_anime_zebra1.png,17,1,anime,zebra,1,Estimate Average,Episodes,D,0,"In the 'Episodes' column, calculate a rough estimate of the average value",28.896551724137932,D,
4,DS2_anime_zebra2.png,18,2,anime,zebra,2,Estimate Average,Members,F,0,"In the 'Members' column, calculate a rough estimate of the average value",62.37931034482759,F,
4,DS3_anime_zebra3.png,19,3,anime,zebra,3,Estimate Average,Completed,E,0,"In the 'Completed' column, calculate a rough estimate of the average value",37.86206896551724,E,
4,DS4_anime_zebra4.png,20,4,anime,zebra,4,Estimate Average,Members,G,0,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G,
4,DS13_movie_color1.png,13,13,movie,color,1,Estimate Average,Fandango,E,0,"In the 'Fandango' column, calculate a rough estimate of the average value",52.310344827586206,E,
4,DS14_movie_color2.png,14,14,movie,color,2,Estimate Average,MrQE,G,0,"In the 'MrQE' column, calculate a rough estimate of the average value",37.86206896551724,G,
4,DS15_movie_color3.png,15,15,movie,color,3,Estimate Average,"Rotten Tomatoes",F,0,"In the 'Rotten Tomatoes' column, calculate a rough estimate of the average value",50.241379310344826,F,
4,DS16_movie_color4.png,16,16,movie,color,4,Estimate Average,IMDB,E,0,"In the 'IMDB' column, calculate a rough estimate of the average value",52.310344827586206,E,
4,DS9_candy_bar1.png,57,9,candy,bar,1,Estimate Average,Chocolate,G,0,"In the 'Chocolate' column, calculate a rough estimate of the average value",37.86206896551724,G,
4,DS10_candy_bar2.png,58,10,candy,bar,2,Estimate Average,Nougat,D,0,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D,
4,DS11_candy_bar3.png,59,11,candy,bar,3,Estimate Average,Fruity,F,0,"In the 'Fruity' column, calculate a rough estimate of the average value",50.241379310344826,F,
4,DS12_candy_bar4.png,60,12,candy,bar,4,Estimate Average,"Sugar Percent",G,0,"In the 'Sugar Percent' column, calculate a rough estimate of the average value",37.86206896551724,G,
4,DS5_cereal_plain1.png,37,5,cereal,plain,1,Estimate Average,Sugars,F,0,"In the 'Sugars' column, calculate a rough estimate of the average value",56.93103448275862,F,
4,DS6_cereal_plain2.png,38,6,cereal,plain,2,Estimate Average,Score,E,0,"In the 'Score' column, calculate a rough estimate of the average value",42.10344827586207,E,
4,DS7_cereal_plain3.png,39,7,cereal,plain,3,Estimate Average,Vitamins,D,0,"In the 'Vitamins' column, calculate a rough estimate of the average value",35.62068965517241,D,
4,DS8_cereal_plain4.png,40,8,cereal,plain,4,Estimate Average,Potassium,E,0,"In the 'Potassium' column, calculate a rough estimate of the average value",52.310344827586206,E,
5,DS1_anime_zebra1.png,17,1,anime,zebra,1,Retreive Value,Popularity,G,15,"In the 'Popularity' column, find the anime with a value equal to '15' ",Attacking Titan,16,
5,DS2_anime_zebra2.png,18,2,anime,zebra,2,Retreive Value,On-Hold,H,26,"In the 'On-Hold' column, find the anime with a value equal to '26' ",Helping Alice,20,
5,DS3_anime_zebra3.png,19,3,anime,zebra,3,Retreive Value,Watching,I,17,"In the 'Watching' column, find the anime with a value equal to '17' ",Beating Music,16,
5,DS4_anime_zebra4.png,20,4,anime,zebra,4,Retreive Value,On-Hold,J,12,"In the 'On-Hold' column, find the anime with a value equal to '12' ",Fafnar Weapon,18,
5,DS13_movie_color1.png,13,13,movie,color,1,Retreive Value,PluggedIn,J,67,"In the 'PluggedIn' column, find the movie with a value equal to '67' ",Running Night,20,
5,DS14_movie_color2.png,14,14,movie,color,2,Retreive Value,Netflix,I,79,"In the 'Netflix' column, find the movie with a value equal to '79' ",End Tour,18,
5,DS15_movie_color3.png,15,15,movie,color,3,Retreive Value,Naver,L,73,"In the 'Naver' column, find the movie with a value equal to '73' ",Love Mercy,19,
5,DS16_movie_color4.png,16,16,movie,color,4,Retreive Value,Hulu,K,31,"In the 'Hulu' column, find the movie with a value equal to '31' ",Ricki Flash,17,
5,DS9_candy_bar1.png,57,9,candy,bar,1,Retreive Value,Pluribus,J,32,"In the 'Pluribus' column, find the candy with a value equal to '32' ",Pixie Sticks,19,
5,DS10_candy_bar2.png,58,10,candy,bar,2,Retreive Value,Price,K,68,"In the 'Price' column, find the candy with a value equal to '68' ",Hersheys Kisses,17,
5,DS11_candy_bar3.png,59,11,candy,bar,3,Retreive Value,Rating,L,26,"In the 'Rating' column, find the candy with a value equal to '26' ",Fruit Chews,11,
5,DS12_candy_bar4.png,60,12,candy,bar,4,Retreive Value,Rating,K,15,"In the 'Rating' column, find the candy with a value equal to '15' ",Quarter World,15,
5,DS5_cereal_plain1.png,37,5,cereal,plain,1,Retreive Value,Sodium,K,51,"In the 'Sodium' column, find the cereal with a value equal to '51' ",Bran Chex,17,
5,DS6_cereal_plain2.png,38,6,cereal,plain,2,Retreive Value,Carbo,H,32,"In the 'Carbo' column, find the cereal with a value equal to '32' ",Double Chex,19,
5,DS7_cereal_plain3.png,39,7,cereal,plain,3,Retreive Value,Protein,I,83,"In the 'Protein' column, find the cereal with a value equal to '83' ",Smile Maker,17,
5,DS8_cereal_plain4.png,40,8,cereal,plain,4,Retreive Value,Vitamins,K,26,"In the 'Vitamins' column, find the cereal with a value equal to '26' ",Frosted Flakes,20,
