task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header,Column,Par 1,Prompt,Answer,Answer Column / Row
1,"DS14_movie_color2.png",14,14,movie,color,2,Filter,Netflix,I,76,"In the 'NETFLIX' column, count how many cells exceed the value of '76' ",8,I
1,"DS15_movie_color3.png",15,15,movie,color,3,Filter,Fandango,J,54,"In the 'FANDANGO' column, count how many cells exceed the value of '54' ",7,J
1,"DS16_movie_color4.png",16,16,movie,color,4,Filter,Naver,G,57,"In the 'NAVER' column, count how many cells exceed the value of '57' ",6,G
2,"DS1_anime_zebra1.png",17,1,anime,zebra,1,Correlation,Episodes,C,0.9584557641748676,Determine which of the last 5 columns is most positively correalated with the first column named 'EPISODES' ,Completed,I
2,"task2\T2_DS2_anime_zebra2.png",18,2,anime,zebra,2,Correlation,Plan to Watch,C,0.9790768125482828,Determine which of the last 5 columns is most positively correalated with the first column named 'PLAN TO WATCH' ,Favorites,L
2,"task2\T2_DS3_anime_zebra3.png",19,3,anime,zebra,3,Correlation,Completed,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'COMPLETED' ,Episodes,K
2,"task2\T2_DS4_anime_zebra4.png",20,4,anime,zebra,4,Correlation,Score,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SCORE' ,Dropped,J
2,"task2\T2_DS5_cereal_plain1.png",37,5,cereal,plain,1,Correlation,Potassium,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'POTASSIUM' ,Sugars,K
2,"task2\T2_DS6_cereal_plain2.png",38,6,cereal,plain,2,Correlation,Calories,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'CALORIES' ,Protein,I
2,"task2\T2_DS7_cereal_plain3.png",39,7,cereal,plain,3,Correlation,Iron,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'IRON' ,Carbo,J
2,"task2\T2_DS8_cereal_plain4.png",40,8,cereal,plain,4,Correlation,Vitamins,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'VITAMINS' ,Potassium,L
2,"task2\T2_DS9_candy_bar1.png",57,9,candy,bar,1,Correlation,Hard,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'HARD' ,Chocolate,L
2,"task2\T2_DS10_candy_bar2.png",58,10,candy,bar,2,Correlation,SugarPercent,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SUGARPERCENT' ,Rating,J
2,"task2\T2_DS11_candy_bar3.png",59,11,candy,bar,3,Correlation,Rating,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'RATING' ,Chocolate,K
2,"task2\T2_DS12_candy_bar4.png",60,12,candy,bar,4,Correlation,Hard,C,0.992274757693407,Determine which of the last 5 columns is most positively correalated with the first column named 'HARD' ,Nougat,I
2,"task2\T2_DS13_movie_color1.png",13,13,movie,color,1,Correlation,Naver,C,0.9922747576934072,Determine which of the last 5 columns is most positively correalated with the first column named 'NAVER' ,Roger Ebert,I
2,"task2\T2_DS14_movie_color2.png",14,14,movie,color,2,Correlation,MrQE,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'MRQE' ,Netflix,L
2,"task2\T2_DS15_movie_color3.png",15,15,movie,color,3,Correlation,RottenTomatoes,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'ROTTENTOMATOES' ,Netflix,k
2,"task2\T2_DS16_movie_color4.png",16,16,movie,color,4,Correlation,IMDB,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
3,"task2\T2_DS1_anime_zebra1.png",17,1,anime,zebra,1,Sort,Completed,L,60 56 53,"In the 'COMPLETED' column, give the row names of the animes with the highest 3 values in descending order ",Hungry Heart-Fighting Animal-Trinity Blood,13 18 27
3,"DS2_anime_zebra2.png",18,2,anime,zebra,2,Sort,Favorites,I,88 86 83,"In the 'FAVORITES' column, give the row names of the animes with the highest 3 values in descending order ",Cursing Notebook-Fourth Stage-Hungry Heart,5 18 6
3,"DS3_anime_zebra3.png",19,3,anime,zebra,3,Sort,Episodes,J,75 73 71,"In the 'EPISODES' column, give the row names of the animes with the highest 3 values in descending order ",Fighting Animal-Legendary Forks-First Stage,5 10 11
3,"DS4_anime_zebra4.png",20,4,anime,zebra,4,Sort,Score,K,74 73 70,"In the 'SCORE' column, give the row names of the animes with the highest 3 values in descending order ",Helping Alice-Neon Genesis-Queen Kingdom,6 24 22
3,"DS5_cereal_plain1.png",37,5,cereal,plain,1,Sort,Carbo,H,88 86 83,"In the 'CARBO' column, give the row names of the cereals with the highest 3 values in descending order ",Oatmeal Crisp-Wheat Cream-Grape Flakes,5 19 20
3,"DS6_cereal_plain2.png",38,6,cereal,plain,2,Sort,Potassium,I,71 70 68,"In the 'POTASSIUM' column, give the row names of the cereals with the highest 3 values in descending order ",Corn Favorite-Frosted Flakes-Natural Bran,22 3 7
3,"DS7_cereal_plain3.png",39,7,cereal,plain,3,Sort,Score,J,60 56 53,"In the 'SCORE' column, give the row names of the cereals with the highest 3 values in descending order ",Count Chocula-Wonderful Chex-Almond Delight,7 23 18
3,"DS8_cereal_plain4.png",40,8,cereal,plain,4,Sort,Vitamins,K,75 73 71,"In the 'VITAMINS' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Count Chocula-Bran Chex,16 10 19
3,"DS9_candy_bar1.png",57,9,candy,bar,1,Sort,Caramel,H,98 84 80,"In the 'CARAMEL' column, give the row names of the candys with the highest 3 values in descending order ",Lemon Head-Junior Mints-Gob Stopper,30 9 11
3,"DS10_candy_bar2.png",58,10,candy,bar,2,Sort,Price,K,75 73 71,"In the 'PRICE' column, give the row names of the candys with the highest 3 values in descending order ",Now Later-Milk Duds-Crunch Time,31 8 26
3,"DS11_candy_bar3.png",59,11,candy,bar,3,Sort,Rating,L,75 73 71,"In the 'RATING' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Air Heads-Caramel Apple,27 12 28
3,"DS12_candy_bar4.png",60,12,candy,bar,4,Sort,Almond,J,98 97 95,"In the 'ALMOND' column, give the row names of the candys with the highest 3 values in descending order ",Reese Pieces-Cheese Bears-Berry Chews,30 19 16
3,"DS13_movie_color1.png",13,13,movie,color,1,Sort,Naver,I,71 70 68,"In the 'NAVER' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,21 16 17
3,"DS14_movie_color2.png",14,14,movie,color,2,Sort,Film Comment,K,75 73 71,"In the 'FILM COMMENT' column, give the row names of the movies with the highest 3 values in descending order ",About Elly-Love Mercy-Welcome Home,5 21 20
3,"DS15_movie_color3.png",15,15,movie,color,3,Sort,PluggedIn,H,98 84 80,"In the 'PLUGGEDIN' column, give the row names of the movies with the highest 3 values in descending order ",Tomorrow land-Black Sea-South Paw,10 9 20
3,"DS16_movie_color4.png",16,16,movie,color,4,Sort,Netflix,J,71 70 68,"In the 'NETFLIX' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,18 6 10
4,"DS1_anime_zebra1.png",17,1,anime,zebra,1,Estimate Average,Episodes,D,,"In the 'EPISODES' column, calculate a rough estimate of the average value",28.89655172413793,D
4,"DS2_anime_zebra2.png",18,2,anime,zebra,2,Estimate Average,Members,F,,"In the 'MEMBERS' column, calculate a rough estimate of the average value",62.37931034482759,F
4,"DS3_anime_zebra3.png",19,3,anime,zebra,3,Estimate Average,Completed,E,,"In the 'COMPLETED' column, calculate a rough estimate of the average value",37.86206896551724,E
4,"DS4_anime_zebra4.png",20,4,anime,zebra,4,Estimate Average,Members,G,,"In the 'MEMBERS' column, calculate a rough estimate of the average value",47.6551724137931,G
4,"DS5_cereal_plain1.png",37,5,cereal,plain,1,Estimate Average,Sugars,F,,"In the 'SUGARS' column, calculate a rough estimate of the average value",56.93103448275862,F
4,"DS6_cereal_plain2.png",38,6,cereal,plain,2,Estimate Average,Score,E,,"In the 'SCORE' column, calculate a rough estimate of the average value",42.10344827586207,E
4,"DS7_cereal_plain3.png",39,7,cereal,plain,3,Estimate Average,Vitamins,D,,"In the 'VITAMINS' column, calculate a rough estimate of the average value",35.62068965517241,D
4,"DS8_cereal_plain4.png",40,8,cereal,plain,4,Estimate Average,Potassium,E,,"In the 'POTASSIUM' column, calculate a rough estimate of the average value",52.310344827586206,E
4,"DS9_candy_bar1.png",57,9,candy,bar,1,Estimate Average,Chocolate,G,,"In the 'CHOCOLATE' column, calculate a rough estimate of the average value",37.86206896551724,G
4,"DS10_candy_bar2.png",58,10,candy,bar,2,Estimate Average,Nougat,D,,"In the 'NOUGAT' column, calculate a rough estimate of the average value",35.62068965517241,D
4,"DS11_candy_bar3.png",59,11,candy,bar,3,Estimate Average,Fruity,F,,"In the 'FRUITY' column, calculate a rough estimate of the average value",50.241379310344826,F
4,"DS12_candy_bar4.png",60,12,candy,bar,4,Estimate Average,SugarPercent,G,,"In the 'SUGARPERCENT' column, calculate a rough estimate of the average value",37.86206896551724,G
4,"DS13_movie_color1.png",13,13,movie,color,1,Estimate Average,Fandango,E,,"In the 'FANDANGO' column, calculate a rough estimate of the average value",52.310344827586206,E
4,"DS14_movie_color2.png",14,14,movie,color,2,Estimate Average,MrQE,G,,"In the 'MRQE' column, calculate a rough estimate of the average value",37.86206896551724,G
4,"DS15_movie_color3.png",15,15,movie,color,3,Estimate Average,RottenTomatoes,F,,"In the 'ROTTENTOMATOES' column, calculate a rough estimate of the average value",50.241379310344826,F
4,"DS16_movie_color4.png",16,16,movie,color,4,Estimate Average,IMDB,E,,"In the 'IMDB' column, calculate a rough estimate of the average value",52.310344827586206,E
5,"DS1_anime_zebra1.png",17,1,anime,zebra,1,Retrieve Value,Popularity,G,15,"In the 'POPULARITY' column, find the  with a value equal to '15' ",Attacking Titan,16
5,"DS2_anime_zebra2.png",18,2,anime,zebra,2,Retrieve Value,On-Hold,H,26,"In the 'ON-HOLD' column, find the  with a value equal to '26' ",Helping Alice,20
5,"DS3_anime_zebra3.png",19,3,anime,zebra,3,Retrieve Value,Watching,I,17,"In the 'WATCHING' column, find the  with a value equal to '17' ",Beating Music,16
5,"DS4_anime_zebra4.png",20,4,anime,zebra,4,Retrieve Value,On-Hold,J,12,"In the 'ON-HOLD' column, find the  with a value equal to '12' ",Fafnar Weapon,18
5,"DS5_cereal_plain1.png",37,5,cereal,plain,1,Retrieve Value,Sodium,K,51,"In the 'SODIUM' column, find the  with a value equal to '51' ",Bran Chex,17
5,"DS6_cereal_plain2.png",38,6,cereal,plain,2,Retrieve Value,Carbo,H,32,"In the 'CARBO' column, find the  with a value equal to '32' ",Double Chex,19
5,"DS7_cereal_plain3.png",39,7,cereal,plain,3,Retrieve Value,Protein,I,83,"In the 'PROTEIN' column, find the  with a value equal to '83' ",Smile Maker,17
5,"DS8_cereal_plain4.png",40,8,cereal,plain,4,Retrieve Value,Vitamins,K,26,"In the 'VITAMINS' column, find the  with a value equal to '26' ",Frosted Flakes,20
5,"DS9_candy_bar1.png",57,9,candy,bar,1,Retrieve Value,Pluribus,J,32,"In the 'PLURIBUS' column, find the  with a value equal to '32' ",Pixie Sticks,19
5,"DS10_candy_bar2.png",58,10,candy,bar,2,Retrieve Value,Price,K,68,"In the 'PRICE' column, find the  with a value equal to '68' ",Hersheys Kisses,17
5,"DS11_candy_bar3.png",59,11,candy,bar,3,Retrieve Value,Rating,L,26,"In the 'RATING' column, find the  with a value equal to '26' ",Fruit Chews,11
5,"DS12_candy_bar4.png",60,12,candy,bar,4,Retrieve Value,Rating,K,15,"In the 'RATING' column, find the  with a value equal to '15' ",Quarter World,15
5,"DS13_movie_color1.png",13,13,movie,color,1,Retrieve Value,PluggedIn,J,67,"In the 'PLUGGEDIN' column, find the  with a value equal to '67' ",Running Night,20
5,"DS14_movie_color2.png",14,14,movie,color,2,Retrieve Value,Netflix,I,79,"In the 'NETFLIX' column, find the  with a value equal to '79' ",End Tour,18
5,"DS15_movie_color3.png",15,15,movie,color,3,Retrieve Value,Naver,L,73,"In the 'NAVER' column, find the  with a value equal to '73' ",Love Mercy,19
5,"DS16_movie_color4.png",16,16,movie,color,4,Retrieve Value,Hulu,K,31,"In the 'HULU' column, find the  with a value equal to '31' ",Ricki Flash,17
