task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header,Column,Par 1,Prompt,Answer,Answer Column / Row
3,"DS15_movie_color3.png",15,15,movie,color,3,Sort,PluggedIn,H,98 84 80,"In the 'PLUGGEDIN' column, give the row names of the movies with the highest 3 values in descending order ",Tomorrow land-Black Sea-South Paw,10 9 20
3,"DS16_movie_color4.png",16,16,movie,color,4,Sort,Netflix,J,71 70 68,"In the 'NETFLIX' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,18 6 10
4,"DS1_anime_plain1.png",33,1,anime,plain,1,Estimate Average,Completed,D,,"In the 'COMPLETED' column, calculate a rough estimate of the average value",28.89655172413793,D
4,"DS2_anime_plain2.png",34,2,anime,plain,2,Estimate Average,Ranked,F,,"In the 'RANKED' column, calculate a rough estimate of the average value",62.37931034482759,F
4,"DS3_anime_plain3.png",35,3,anime,plain,3,Estimate Average,Completed,E,,"In the 'COMPLETED' column, calculate a rough estimate of the average value",37.86206896551724,E
4,"DS4_anime_plain4.png",36,4,anime,plain,4,Estimate Average,Members,G,,"In the 'MEMBERS' column, calculate a rough estimate of the average value",47.6551724137931,G
4,"DS5_cereal_zebra1.png",21,5,cereal,zebra,1,Estimate Average,Fiber,F,,"In the 'FIBER' column, calculate a rough estimate of the average value",56.93103448275862,F
4,"DS6_cereal_zebra2.png",22,6,cereal,zebra,2,Estimate Average,Fiber,G,,"In the 'FIBER' column, calculate a rough estimate of the average value",52.310344827586206,G
4,"DS7_cereal_zebra3.png",23,7,cereal,zebra,3,Estimate Average,Sugars,D,,"In the 'SUGARS' column, calculate a rough estimate of the average value",35.62068965517241,D
4,"DS8_cereal_zebra4.png",24,8,cereal,zebra,4,Estimate Average,Score,E,,"In the 'SCORE' column, calculate a rough estimate of the average value",52.310344827586206,E
4,"DS9_candy_bar1.png",57,9,candy,bar,1,Estimate Average,Chocolate,G,,"In the 'CHOCOLATE' column, calculate a rough estimate of the average value",37.86206896551724,G
4,"DS10_candy_bar2.png",58,10,candy,bar,2,Estimate Average,Nougat,D,,"In the 'NOUGAT' column, calculate a rough estimate of the average value",35.62068965517241,D
4,"DS11_candy_bar3.png",59,11,candy,bar,3,Estimate Average,Fruity,F,,"In the 'FRUITY' column, calculate a rough estimate of the average value",50.241379310344826,F
4,"DS12_candy_bar4.png",60,12,candy,bar,4,Estimate Average,SugarPercent,G,,"In the 'SUGARPERCENT' column, calculate a rough estimate of the average value",37.86206896551724,G
4,"DS13_movie_color1.png",13,13,movie,color,1,Estimate Average,Fandango,E,,"In the 'FANDANGO' column, calculate a rough estimate of the average value",52.310344827586206,E
4,"DS14_movie_color2.png",14,14,movie,color,2,Estimate Average,MrQE,G,,"In the 'MRQE' column, calculate a rough estimate of the average value",37.86206896551724,G
4,"DS15_movie_color3.png",15,15,movie,color,3,Estimate Average,RottenTomatoes,F,,"In the 'ROTTENTOMATOES' column, calculate a rough estimate of the average value",50.241379310344826,F
4,"DS16_movie_color4.png",16,16,movie,color,4,Estimate Average,IMDB,E,,"In the 'IMDB' column, calculate a rough estimate of the average value",52.310344827586206,E
5,"DS1_anime_plain1.png",33,1,anime,plain,1,Retrieve Value,Watching,G,15,"In the 'WATCHING' column, find the anime with a value equal to '15' ",Helping Alice,16
5,"DS2_anime_plain2.png",34,2,anime,plain,2,Retrieve Value,On-Hold,H,26,"In the 'ON-HOLD' column, find the anime with a value equal to '26' ",Attacking Titan,20
5,"DS3_anime_plain3.png",35,3,anime,plain,3,Retrieve Value,On-Hold,I,17,"In the 'ON-HOLD' column, find the anime with a value equal to '17' ",Ultimate horror,16
5,"DS4_anime_plain4.png",36,4,anime,plain,4,Retrieve Value,Popularity,J,12,"In the 'POPULARITY' column, find the anime with a value equal to '12' ",Helping Alice,18
5,"DS5_cereal_zebra1.png",21,5,cereal,zebra,1,Retrieve Value,Sugars,K,51,"In the 'SUGARS' column, find the cereal with a value equal to '51' ",Wonderful Chex,17
5,"DS6_cereal_zebra2.png",22,6,cereal,zebra,2,Retrieve Value,Score,H,32,"In the 'SCORE' column, find the cereal with a value equal to '32' ",Wheat Cream,19
5,"DS7_cereal_zebra3.png",23,7,cereal,zebra,3,Retrieve Value,Protein,I,83,"In the 'PROTEIN' column, find the cereal with a value equal to '83' ",Lucky Charms,17
5,"DS8_cereal_zebra4.png",24,8,cereal,zebra,4,Retrieve Value,Sodium,K,26,"In the 'SODIUM' column, find the cereal with a value equal to '26' ",Wheat Cream,20
5,"DS9_candy_bar1.png",57,9,candy,bar,1,Retrieve Value,Pluribus,J,32,"In the 'PLURIBUS' column, find the candy with a value equal to '32' ",Pixie Sticks,19
5,"DS10_candy_bar2.png",58,10,candy,bar,2,Retrieve Value,Price,K,68,"In the 'PRICE' column, find the candy with a value equal to '68' ",Hersheys Kisses,17
5,"DS11_candy_bar3.png",59,11,candy,bar,3,Retrieve Value,Rating,L,26,"In the 'RATING' column, find the candy with a value equal to '26' ",Fruit Chews,11
5,"DS12_candy_bar4.png",60,12,candy,bar,4,Retrieve Value,Rating,K,15,"In the 'RATING' column, find the candy with a value equal to '15' ",Quarter World,15
5,"DS13_movie_color1.png",13,13,movie,color,1,Retrieve Value,PluggedIn,J,67,"In the 'PLUGGEDIN' column, find the movie with a value equal to '67' ",Running Night,20
5,"DS14_movie_color2.png",14,14,movie,color,2,Retrieve Value,Netflix,I,79,"In the 'NETFLIX' column, find the movie with a value equal to '79' ",End Tour,18
5,"DS15_movie_color3.png",15,15,movie,color,3,Retrieve Value,Naver,L,73,"In the 'NAVER' column, find the movie with a value equal to '73' ",Love Mercy,19
5,"DS16_movie_color4.png",16,16,movie,color,4,Retrieve Value,Hulu,K,31,"In the 'HULU' column, find the movie with a value equal to '31' ",Ricki Flash,17
