Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header, Column,Par 1,Par 2, Prompt , Answer, Answer Column / Row, Header, Column.1,Par 1.1,Par 2.1,T2 Prompt , Answer.1, Answer Column,Header.1, Column.2,Par 1.2,Par 2.2, Prompt .1,Highest Value,T3 Highest Row Index,T3 Answer1 ,Second Highest Value,T3 Second Row Index,T3 Answer2,Third Highest Value,T3 Third Row Index,T3 Answer3,Expected Answer, Answer Column / Row.1, Header.1, Column.3,Par 1.3,Par 2.3,T4 Prompt ,T4 Answer, Answer Column / Row.2, Header.2, Column.4,Par1,Par2,T5 Prompt,T5 Answer,T5 Row Index
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H,70,0,"In the 'Metacritic' column, count how many cells exceed the value of '70' ",5,H,Naver,C,0.9922747576934071,,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I,Naver,I,71 70 68,,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",71,21,Welcome Home,70,16,Saint Laurent,68,17,Red Army,Welcome Home-Saint Laurent-Red Army,21 16 17,Fandango,E,,,"In the 'Fandango' column, calculate a rough estimate of the average value",52.310344827586206,E,PluggedIn,J,67,1,"In the 'PluggedIn' column, find the  with a value equal to '67' ",Running Night,20
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I,76,0,"In the 'Netflix' column, count how many cells exceed the value of '76' ",8,I,MrQE,C,0.9994148327618346,,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L,"Film Comment",K,75 73 71,,"In the 'Film Comment' column, give the row names of the movies with the highest 3 values in descending order ",75,5,About Elly,73,21,Love Mercy,71,20,Welcome Home,About Elly-Love Mercy-Welcome Home,5 21 20,MrQE,G,,,"In the 'MrQE' column, calculate a rough estimate of the average value",37.86206896551724,G,Netflix,I,79,1,"In the 'Netflix' column, find the  with a value equal to '79' ",End Tour,18
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J,54,0,"In the 'Fandango' column, count how many cells exceed the value of '54' ",7,J,"RottenTomatoes",C,0.9994148327618346,,"Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ",Netflix,k,PluggedIn,H,98 84 80,,"In the 'PluggedIn' column, give the row names of the movies with the highest 3 values in descending order ",98,10,Tomorrow land,84,9,Black Sea,80,20,South Paw,Tomorrow land-Black Sea-South Paw,10 9 20,"RottenTomatoes",F,,,"In the 'RottenTomatoes' column, calculate a rough estimate of the average value",50.241379310344826,F,Naver,L,73,1,"In the 'Naver' column, find the  with a value equal to '73' ",Love Mercy,19
DS16_movie_color4.png,16,16,movie,color,4,Naver,G,57,0,"In the 'Naver' column, count how many cells exceed the value of '57' ",6,G,IMDB,C,0.9922747576934067,,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J,Netflix,J,71 70 68,,"In the 'Netflix' column, give the row names of the movies with the highest 3 values in descending order ",71,18,Welcome Home,70,6,Saint Laurent,68,10,Red Army,Welcome Home-Saint Laurent-Red Army,18 6 10,IMDB,E,,,"In the 'IMDB' column, calculate a rough estimate of the average value",52.310344827586206,E,Hulu,K,31,1,"In the 'Hulu' column, find the  with a value equal to '31' ",Ricki Flash,17
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J,80,0,"In the 'On-Hold' column, count how many cells exceed the value of '80' ",7,J,Episodes,C,0.9584557641748676,,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I,Completed,L,60 56 53,,"In the 'Completed' column, give the row names of the animes with the highest 3 values in descending order ",60,13,Hungry Heart,56,18,Fighting Animal,53,27,Trinity Blood,Hungry Heart-Fighting Animal-Trinity Blood,13 18 27,Episodes,D,,,"In the 'Episodes' column, calculate a rough estimate of the average value",28.896551724137932,D,Popularity,G,15,1,"In the 'Popularity' column, find the  with a value equal to '15' ",Attacking Titan,16
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I,70,0,"In the 'Favorites' column, count how many cells exceed the value of '70' ",6,I,"Plan to Watch",C,0.9790768125482829,,"Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ",Favorites,L,Favorites,I,88 86 83,,"In the 'Favorites' column, give the row names of the animes with the highest 3 values in descending order ",88,5,Cursing Notebook,86,18,Fourth Stage,83,6,Hungry Heart,Cursing Notebook-Fourth Stage-Hungry Heart,5 18 6,Members,F,,,"In the 'Members' column, calculate a rough estimate of the average value",62.37931034482759,F,On-Hold,H,26,1,"In the 'On-Hold' column, find the  with a value equal to '26' ",Helping Alice,20
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G,88,0,"In the 'On-Hold' column, count how many cells exceed the value of '88' ",5,G,Completed,C,0.9922747576934067,,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K,Episodes,J,75 73 71,,"In the 'Episodes' column, give the row names of the animes with the highest 3 values in descending order ",75,5,Fighting Animal,73,10,Legendary Forks,71,11,First Stage,Fighting Animal-Legendary Forks-First Stage,5 10 11,Completed,E,,,"In the 'Completed' column, calculate a rough estimate of the average value",37.86206896551724,E,Watching,I,17,1,"In the 'Watching' column, find the  with a value equal to '17' ",Beating Music,16
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K,43,0,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K,Score,C,0.9994148327618343,,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J,Score,K,74 73 70,,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",74,6,Helping Alice,73,24,Neon Genesis,70,22,Queen Kingdom,Helping Alice-Neon Genesis-Queen Kingdom,6 24 22,Members,G,,,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G,On-Hold,J,12,1,"In the 'On-Hold' column, find the  with a value equal to '12' ",Fafnar Weapon,18
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I,57,0,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I,Potassium,C,0.9994148327618346,,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K,Vitamins,H,88 86 83,,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",88,5,Cap Crunch,86,19,Corn Favorite,83,20,Raisin Bran,Cap Crunch-Corn Favorite-Raisin Bran,5 19 20,Fiber,F,,,"In the 'Fiber' column, calculate a rough estimate of the average value",56.93103448275862,F,Sugars,K,51,1,"In the 'Sugars' column, find the  with a value equal to '51' ",Wonderful Chex,17
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H,70,0,"In the 'Score' column, count how many cells exceed the value of '70' ",5,H,Calories,C,0.9922747576934069,,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I,Protein,I,71 70 68,,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",71,22,Smile Maker,70,3,Natural Bran,68,7,Fruity Pebbles,Smile Maker-Natural Bran-Fruity Pebbles,22 3 7,Fiber,G,,,"In the 'Fiber' column, calculate a rough estimate of the average value",52.310344827586206,G,Score,H,32,1,"In the 'Score' column, find the  with a value equal to '32' ",Wheat Cream,19
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J,45,0,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J,Iron,C,0.9994148327618343,,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J,Carbo,J,60 56 53,,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",60,7,Cinnamon Toast,56,23,Cap Crunch,53,18,Mini Wheats,Cinnamon Toast-Cap Crunch-Mini Wheats,7 23 18,Sugars,D,,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D,Protein,I,83,1,"In the 'Protein' column, find the  with a value equal to '83' ",Lucky Charms,17
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K,60,0,"In the 'Sodium' column, count how many cells exceed the value of '60' ",7,K,Vitamins,C,0.9994148327618345,,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L,Sodium,K,75 73 71,,"In the 'Sodium' column, give the row names of the cereals with the highest 3 values in descending order ",75,16,Wonderful Chex,73,10,Bran Chex,71,19,Raisin Bran,Wonderful Chex-Bran Chex-Raisin Bran,16 10 19,Score,E,,,"In the 'Score' column, calculate a rough estimate of the average value",52.310344827586206,E,Sodium,K,26,1,"In the 'Sodium' column, find the  with a value equal to '26' ",Wheat Cream,20
DS9_candy_zebra1.png,25,9,candy,zebra,1,"SugarPercent",K,66,0,"In the 'SugarPercent' column, count how many cells exceed the value of '66' ",5,K,Hard,C,0.9994148327618345,,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L,Hard,H,98 84 80,,"In the 'Hard' column, give the row names of the candys with the highest 3 values in descending order ",98,30,Fun Dips,84,9,Crunch Time,80,11,Now Later,Fun Dips-Crunch Time-Now Later,30 9 11,Nougat,G,,,"In the 'Nougat' column, calculate a rough estimate of the average value",37.86206896551724,G,Pluribus,J,32,1,"In the 'Pluribus' column, find the  with a value equal to '32' ",Root Barrels,19
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J,38,0,"In the 'Caramel' column, count how many cells exceed the value of '38' ",8,J,"SugarPercent",C,0.9994148327618345,,"Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ",Rating,J,Almond,K,75 73 71,,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",75,31,Fun Dips,73,8,Laffy Taffy,71,26,Gold Bears,Fun Dips-Laffy Taffy-Gold Bears,31 8 26,Nougat,D,,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D,Almond,K,52,1,"In the 'Almond' column, find the  with a value equal to '52' ",Cheese Bears,16
DS11_candy_zebra3.png,27,11,candy,zebra,3,"SugarPercent",G,50,0,"In the 'SugarPercent' column, count how many cells exceed the value of '50' ",7,G,Rating,C,0.9994148327618345,,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K,Nougat,L,75 73 71,,"In the 'Nougat' column, give the row names of the candys with the highest 3 values in descending order ",75,27,Gold Bears,73,12,Fun Dips,71,28,Root Barrels,Gold Bears-Fun Dips-Root Barrels,27 12 28,Price,F,,,"In the 'Price' column, calculate a rough estimate of the average value",50.241379310344826,F,Nougat,L,52,1,"In the 'Nougat' column, find the  with a value equal to '52' ",Milk Duds,15
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I,57,0,"In the 'Caramel' column, count how many cells exceed the value of '57' ",6,I,Hard,C,0.992274757693407,,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I,Fruity,J,98 97 95,,"In the 'Fruity' column, give the row names of the candys with the highest 3 values in descending order ",98,30,Air Heads,97,19,Junior Mints,95,16,Haribo Cola,Air Heads-Junior Mints-Haribo Cola,30 19 16,Almond,G,,,"In the 'Almond' column, calculate a rough estimate of the average value",37.86206896551724,G,Nougat,K,59,1,"In the 'Nougat' column, find the  with a value equal to '59' ",Haribo Cola,16
DS13_movie_zebra1.png,29,13,movie,zebra,1,Fandango,H,70,0,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H,Naver,C,0.9922747576934071,,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I,Roger Ebert,I,71 70 68,,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",71,21,End Tour,70,16,Black White,68,17,My Dreams,End Tour-Black White-My Dreams,21 16 17,MrQE,E,,,"In the 'MrQE' column, calculate a rough estimate of the average value",52.310344827586206,E,"Film Comment",J,67,1,"In the 'Film Comment' column, find the  with a value equal to '67' ",Black Sea,20
DS14_movie_zebra2.png,30,14,movie,zebra,2,PluggedIn,I,76,0,"In the 'PluggedIn' column, count how many cells exceed the value of '76' ",8,I,MrQE,C,0.9994148327618346,,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L,Fandango,K,75 73 71,,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",75,5,Black Sea,73,21,Water Diviner,71,20,Hunting Ground,Black Sea-Water Diviner-Hunting Ground,5 21 20,IMDB,G,,,"In the 'IMDB' column, calculate a rough estimate of the average value",37.86206896551724,G,PluggedIn,I,79,1,"In the 'PluggedIn' column, find the  with a value equal to '79' ",Hot Pursuit,18
DS15_movie_zebra3.png,31,15,movie,zebra,3,Hulu,J,54,0,"In the 'Hulu' column, count how many cells exceed the value of '54' ",7,J,"RottenTomatoes",C,0.9994148327618346,,"Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ",Netflix,K,"RottenTomatoes",H,98 84 80,,"In the 'RottenTomatoes' column, give the row names of the movies with the highest 3 values in descending order ",98,10,Crazy Adventure,84,9,Fantastic Four,80,20,Black Sea,Crazy Adventure-Fantastic Four-Black Sea,10 9 20,Netflix,F,,,"In the 'Netflix' column, calculate a rough estimate of the average value",50.241379310344826,F,Naver,L,73,1,"In the 'Naver' column, find the  with a value equal to '73' ",South Paw,19
DS16_movie_zebra4.png,32,16,movie,zebra,4,Metacritic,G,57,0,"In the 'Metacritic' column, count how many cells exceed the value of '57' ",6,G,IMDB,C,0.9922747576934067,,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J,Naver,J,71 70 68,,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",71,18,Wild Tales,70,6,Teenage Girl ,68,10,My Dreams,Wild Tales-Teenage Girl -My Dreams,18 6 10,Roger Ebert,E,,,"In the 'Roger Ebert' column, calculate a rough estimate of the average value",52.310344827586206,E,"Film Comment",K,31,1,"In the 'Film Comment' column, find the  with a value equal to '31' ",Fantastic Four,17
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J,80,0,"In the 'Score' column, count how many cells exceed the value of '80' ",7,J,Episodes,C,0.9584557641748676,,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I,"Plan to Watch",L,60 56 53,,"In the 'Plan to Watch' column, give the row names of the animes with the highest 3 values in descending order ",60,13,Different Life,56,18,Mobile Phone,53,27,Great Teacher,Different Life-Mobile Phone-Great Teacher,13 18 27,Completed,D,,,"In the 'Completed' column, calculate a rough estimate of the average value",28.896551724137932,D,Watching,G,15,1,"In the 'Watching' column, find the  with a value equal to '15' ",Helping Alice,16
DS2_anime_plain2.png,34,2,anime,plain,2,"Plan to Watch",I,70,0,"In the 'Plan to Watch' column, count how many cells exceed the value of '70' ",6,I,"Plan to Watch",C,0.9790768125482829,,"Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ",Favorites,L,"Plan to Watch",I,88 86 83,,"In the 'Plan to Watch' column, give the row names of the animes with the highest 3 values in descending order ",88,5,Connect Angel,86,18,Best Humanity,83,6,Assassian World,Connect Angel-Best Humanity-Assassian World,5 18 6,Ranked,F,,,"In the 'Ranked' column, calculate a rough estimate of the average value",62.37931034482759,F,On-Hold,H,26,1,"In the 'On-Hold' column, find the  with a value equal to '26' ",Attacking Titan,20
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G,88,0,"In the 'Popularity' column, count how many cells exceed the value of '88' ",5,G,Completed,C,0.9922747576934067,,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K,Ranked,J,75 73 71,,"In the 'Ranked' column, give the row names of the animes with the highest 3 values in descending order ",75,5,Ultra Generation,73,10,Connect Angel,71,11,Magical Warfare,Ultra Generation-Connect Angel-Magical Warfare,5 10 11,Completed,E,,,"In the 'Completed' column, calculate a rough estimate of the average value",37.86206896551724,E,On-Hold,I,17,1,"In the 'On-Hold' column, find the  with a value equal to '17' ",Ultimate horror,16
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K,43,0,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K,Score,C,0.9994148327618343,,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J,Score,K,74 73 70,,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",74,6,Ultra Generation,73,24,Mobile Phone,70,22,Ultimate horror,Ultra Generation-Mobile Phone-Ultimate horror,6 24 22,Members,G,,,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G,Popularity,J,12,1,"In the 'Popularity' column, find the  with a value equal to '12' ",Helping Alice,18
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I,57,0,"In the 'Potassium' column, count how many cells exceed the value of '57' ",8,I,Potassium,C,0.9994148327618346,,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K,Carbo,H,88 86 83,,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",88,5,Oatmeal Crisp,86,19,Wheat Cream,83,20,Grape Flakes,Oatmeal Crisp-Wheat Cream-Grape Flakes,5 19 20,Sugars,F,,,"In the 'Sugars' column, calculate a rough estimate of the average value",56.93103448275862,F,Sodium,K,51,1,"In the 'Sodium' column, find the  with a value equal to '51' ",Bran Chex,17
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H,70,0,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5,H,Calories,C,0.9922747576934069,,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I,Potassium,I,71 70 68,,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",71,22,Corn Favorite,70,3,Frosted Flakes,68,7,Natural Bran,Corn Favorite-Frosted Flakes-Natural Bran,22 3 7,Score,E,,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344827586207,E,Carbo,H,32,1,"In the 'Carbo' column, find the  with a value equal to '32' ",Double Chex,19
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J,45,0,"In the 'Score' column, count how many cells exceed the value of '45' ",6,J,Iron,C,0.9994148327618343,,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J,Score,J,60 56 53,,"In the 'Score' column, give the row names of the cereals with the highest 3 values in descending order ",60,7,Count Chocula,56,23,Wonderful Chex,53,18,Almond Delight,Count Chocula-Wonderful Chex-Almond Delight,7 23 18,Vitamins,D,,,"In the 'Vitamins' column, calculate a rough estimate of the average value",35.62068965517241,D,Protein,I,83,1,"In the 'Protein' column, find the  with a value equal to '83' ",Smile Maker,17
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K,60,0,"In the 'Vitamins' column, count how many cells exceed the value of '60' ",7,K,Vitamins,C,0.9994148327618345,,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L,Vitamins,K,75 73 71,,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",75,16,Froot Loops,73,10,Count Chocula,71,19,Bran Chex,Froot Loops-Count Chocula-Bran Chex,16 10 19,Potassium,E,,,"In the 'Potassium' column, calculate a rough estimate of the average value",52.310344827586206,E,Vitamins,K,26,1,"In the 'Vitamins' column, find the  with a value equal to '26' ",Frosted Flakes,20
