Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,T1 Header,T1 Column,T1 Num,T1 Prompt ,T1 answer,T2 Header,T2 Column,T2 Prompt ,T2 Header Answer,T2 Answer Column,T3 Header,T3 Column,T3 Prompt ,T3 Highest Row Index,T3 Answer1 ,T3 Second Row Index,T3 Answer2,T3 Third Row Index,T3 Answer3,T4 Header,T4 Column,T4 Prompt ,T4 Answer,T5 Column,T5 Header,T5 Row Index,T5 Value,IsUnique,T5 Prompt,T5 Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS11_candy_color3.png,11,11,candy,color,3,Caramel,G,50,"In the Caramel column, count how many entries exceed the value of 50",7,Pluribus,C,Determine which of the last 5 columns are positively correlated with the column named Pluribus,Chocolate,K,Chocolate,K,"In the Chocolate column, name the candys with the highest 3 values in descending order ",5,Laffy Taffy,28,Good Bar,27,Milk Duds,Nougat,F,"In the Nougat column, calculate a rough estimate of the average value",50.241379310344826,L,"Sugar
Percent",11,26,1,"In the Sugar
Percent column, find the anime with a value equal to 26",Hersheys Kisses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS12_candy_color4.png,12,12,candy,color,4,"Sugar
Percent",I,57,"In the Sugar
Percent column, count how many entries exceed the value of 57",6,Bar,C,Determine which of the last 5 columns are positively correlated with the column named Bar,"Sugar
Percent",I,"Sugar
Percent",I,"In the Sugar
Percent column, name the candys with the highest 3 values in descending order ",28,Good Bar,23,Fruit Chews,29,Boston Beans,Price,G,"In the Price column, calculate a rough estimate of the average value",37.86206896551724,K,Pluribus,15,15,1,"In the Pluribus column, find the anime with a value equal to 15",Red Vines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H,70,"In the Metacritic column, count how many entries exceed the value of 70",5,"Rotten
Tomatoes",C,"Determine which of the last 5 columns are positively correlated with the column named Rotten
Tomatoes",Naver,I,Naver,I,"In the Naver column, name the movies with the highest 3 values in descending order ",21,Welcome Home,16,Saint Laurent,17,Red Army,Fandango,E,"In the Fandango column, calculate a rough estimate of the average value",52.310344827586206,J,PluggedIn,20,67,1,"In the PluggedIn column, find the anime with a value equal to 67",Running Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I,76,"In the Netflix column, count how many entries exceed the value of 76",8,Metacritic,C,Determine which of the last 5 columns are positively correlated with the column named Metacritic,"Rotten
Tomatoes",L,"Film
 Comment",K,"In the Film
 Comment column, name the movies with the highest 3 values in descending order ",5,About Elly,21,Love Mercy,20,Welcome Home,MrQE,G,"In the MrQE column, calculate a rough estimate of the average value",37.86206896551724,I,Netflix,18,79,1,"In the Netflix column, find the anime with a value equal to 79",End Tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J,54,"In the Fandango column, count how many entries exceed the value of 54",7,IMDB,C,Determine which of the last 5 columns are positively correlated with the column named IMDB,"Film
 Comment",K,PluggedIn,H,"In the PluggedIn column, name the movies with the highest 3 values in descending order ",10,Tomorrow land,9,Black Sea,20,South Paw,"Rotten
Tomatoes",F,"In the Rotten
Tomatoes column, calculate a rough estimate of the average value",50.241379310344826,L,Naver,19,73,1,"In the Naver column, find the anime with a value equal to 73",Love Mercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS16_movie_color4.png,16,16,movie,color,4,Naver,G,57,"In the Naver column, count how many entries exceed the value of 57",6,PluggedIn,C,Determine which of the last 5 columns are positively correlated with the column named PluggedIn,Netflix,J,Netflix,J,"In the Netflix column, name the movies with the highest 3 values in descending order ",18,Welcome Home,6,Saint Laurent,10,Red Army,IMDB,E,"In the IMDB column, calculate a rough estimate of the average value",52.310344827586206,K,Hulu,17,31,1,"In the Hulu column, find the anime with a value equal to 31",Ricki Flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J,80,"In the On-Hold column, count how many entries exceed the value of 80",7,Dropped,C,Determine which of the last 5 columns are positively correlated with the column named Dropped,Favorites,I,Favorites,I,"In the Favorites column, name the animes with the highest 3 values in descending order ",18,Fighting Animal,17,Ultra Generation,28,Metal Panic,Episodes,D,"In the Episodes column, calculate a rough estimate of the average value",28.896551724137932,G,Popularity,16,15,1,"In the Popularity column, find the anime with a value equal to 15",Attacking Titan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I,70,"In the Favorites column, count how many entries exceed the value of 70",6,Popularity,C,Determine which of the last 5 columns are positively correlated with the column named Popularity,Episodes,L,Watching,J,"In the Watching column, name the animes with the highest 3 values in descending order ",3,Queen Kingdom,12,Attacking Titan,17,Mobile Phone,Members,F,"In the Members column, calculate a rough estimate of the average value",62.37931034482759,H,On-Hold,20,26,1,"In the On-Hold column, find the anime with a value equal to 26",Helping Alice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G,88,"In the On-Hold column, count how many entries exceed the value of 88",5,Score,C,Determine which of the last 5 columns are positively correlated with the column named Score,"Plan
 to Watch",K,Ranked,L,"In the Ranked column, name the animes with the highest 3 values in descending order ",20,Dragon Ball,27,Fourth Stage,16,Beating Music,Completed,E,"In the Completed column, calculate a rough estimate of the average value",37.86206896551724,I,Watching,16,17,1,"In the Watching column, find the anime with a value equal to 17",Beating Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K,43,"In the Score column, count how many entries exceed the value of 43",8,Ranked,C,Determine which of the last 5 columns are positively correlated with the column named Ranked,On-Hold,J,Score,K,"In the Score column, name the animes with the highest 3 values in descending order ",6,Helping Alice,24,Neon Genesis,22,Queen Kingdom,Members,G,"In the Members column, calculate a rough estimate of the average value",47.6551724137931,J,On-Hold,18,12,1,"In the On-Hold column, find the anime with a value equal to 12",Fafnar Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I,57,"In the Sodium column, count how many entries exceed the value of 57",8,Potassium,C,Determine which of the last 5 columns are positively correlated with the column named Potassium,Sugars,K,Vitamins,H,"In the Vitamins column, name the cereals with the highest 3 values in descending order ",5,Cap Crunch,19,Corn Favorite,20,Raisin Bran,Fiber,F,"In the Fiber column, calculate a rough estimate of the average value",56.93103448275862,K,Sugars,17,51,1,"In the Sugars column, find the cereal with a value equal to 51",Wonderful Chex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H,70,"In the Score column, count how many entries exceed the value of 70",5,Calories,C,Determine which of the last 5 columns are positively correlated with the column named Calories,Protein,I,Protein,I,"In the Protein column, name the cereals with the highest 3 values in descending order ",22,Smile Maker,3,Natural Bran,7,Fruity Pebbles,Fiber, G,"In the Fiber column, calculate a rough estimate of the average value",52.310344827586206,H,Score,19,32,1,"In the Score column, find the cereal with a value equal to 32",Wheat Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J,45,"In the Carbo column, count how many entries exceed the value of 45",6,Iron,C,Determine which of the last 5 columns are positively correlated with the column named Iron,Carbo,J,Sodium,K,"In the Sodium column, name the cereals with the highest 3 values in descending order ",18,Mini Wheats,15,Almond Raisin,23,Cap Crunch,Sugars,D,"In the Sugars column, calculate a rough estimate of the average value",35.62068965517241,I,Protein,17,83,1,"In the Protein column, find the cereal with a value equal to 83",Lucky Charms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K,60,"In the Sodium column, count how many entries exceed the value of 60",7,Vitamins,C,Determine which of the last 5 columns are positively correlated with the column named Vitamins,Potassium,L,Iron,J,"In the Iron column, name the cereals with the highest 3 values in descending order ",19,Raisin Bran,28,Puffed Rice,15,Corn Favorite,Score,E,"In the Score column, calculate a rough estimate of the average value",52.310344827586206,K,Sodium,20,26,1,"In the Sodium column, find the cereal with a value equal to 26",Wheat Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS9_candy_zebra1.png,25,9,candy,zebra,1,"Sugar
Percent",K,66,"In the Sugar
Percent column, count how many entries exceed the value of 66",5,Chocolate,C,Determine which of the last 5 columns are positively correlated with the column named Chocolate,Rating,L,Pluribus,J,"In the Pluribus column, name the candys with the highest 3 values in descending order ",25,Red Vines,22,Pop Rocks,5,One Dime,Nougat,G,"In the Nougat column, calculate a rough estimate of the average value",37.86206896551724,J,Pluribus,19,32,1,"In the Pluribus column, find the candy with a value equal to 32",Root Barrels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J,38,"In the Caramel column, count how many entries exceed the value of 38",8,Rating,C,Determine which of the last 5 columns are positively correlated with the column named Rating,Caramel,J,Fruity,L,"In the Fruity column, name the candys with the highest 3 values in descending order ",26,Gold Bears,11,Fruit Chews,20,Red Vines,Nougat,D,"In the Nougat column, calculate a rough estimate of the average value",35.62068965517241,L,Fruity,17,21,2,"In the Fruity column, find the candy with a value equal to 21",Pixie Sticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS11_candy_zebra3.png,27,11,candy,zebra,3,"Sugar
Percent",G,50,"In the Sugar
Percent column, count how many entries exceed the value of 50",7,Pluribus,C,Determine which of the last 5 columns are positively correlated with the column named Pluribus,Bar,K,Bar,K,"In the Bar column, name the candys with the highest 3 values in descending order ",5,Now Later,28,Root Barrels,27,Gold Bears,Price,F,"In the Price column, calculate a rough estimate of the average value",50.241379310344826,I,Almond,15,41,1,"In the Almond column, find the candy with a value equal to 41",Milk Duds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I,57,"In the Caramel column, count how many entries exceed the value of 57",6,Chocolate,C,Determine which of the last 5 columns are positively correlated with the column named Chocolate,Caramel,I,Caramel,I,"In the Caramel column, name the candys with the highest 3 values in descending order ",28,Fun Dips,23,Berry Chews,29,Baby Ruth,Almond,G,"In the Almond column, calculate a rough estimate of the average value",37.86206896551724,K,Nougat,16,59,1,"In the Nougat column, find the candy with a value equal to 59",Haribo Cola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS13_movie_zebra1.png,29,13,movie,zebra,1,Fandango,H,70,"In the Fandango column, count how many entries exceed the value of 70",5,PluggedIn,C,Determine which of the last 5 columns are positively correlated with the column named PluggedIn,Roger Ebert,I,Roger Ebert,I,"In the Roger Ebert column, name the movies with the highest 3 values in descending order ",21,End Tour,16,Black White,17,My Dreams,MrQE,E,"In the MrQE column, calculate a rough estimate of the average value",52.310344827586206,J,"Film
 Comment",20,67,1,"In the Film
 Comment column, find the movie with a value equal to 67",Black Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS14_movie_zebra2.png,30,14,movie,zebra,2,PluggedIn,I,76,"In the PluggedIn column, count how many entries exceed the value of 76",8,Netflix,C,Determine which of the last 5 columns are positively correlated with the column named Netflix,Hulu,L,Fandango,K,"In the Fandango column, name the movies with the highest 3 values in descending order ",5,Black Sea,21,Water Diviner,20,Hunting Ground,IMDB,G,"In the IMDB column, calculate a rough estimate of the average value",37.86206896551724,I,PluggedIn,18,79,1,"In the PluggedIn column, find the movie with a value equal to 79",Hot Pursuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS15_movie_zebra3.png,31,15,movie,zebra,3,Hulu,J,54,"In the Hulu column, count how many entries exceed the value of 54",7,Roger Ebert,C,Determine which of the last 5 columns are positively correlated with the column named Roger Ebert,PluggedIn,K,"Rotten
Tomatoes",H,"In the Rotten
Tomatoes column, name the movies with the highest 3 values in descending order ",10,Crazy Adventure,9,Fantastic Four,20,Black Sea,Netflix,F,"In the Netflix column, calculate a rough estimate of the average value",50.241379310344826,L,Naver,19,73,1,"In the Naver column, find the movie with a value equal to 73",South Paw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS16_movie_zebra4.png,32,16,movie,zebra,4,Metacritic,G,57,"In the Metacritic column, count how many entries exceed the value of 57",6,PluggedIn,C,Determine which of the last 5 columns are positively correlated with the column named PluggedIn,Naver,J,Naver,J,"In the Naver column, name the movies with the highest 3 values in descending order ",18,Wild Tales,6,Teenage Girl ,10,My Dreams,Roger Ebert,E,"In the Roger Ebert column, calculate a rough estimate of the average value",52.310344827586206,K,"Film
 Comment",17,31,1,"In the Film
 Comment column, find the movie with a value equal to 31",Fantastic Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J,80,"In the Score column, count how many entries exceed the value of 80",7,Ranked,C,Determine which of the last 5 columns are positively correlated with the column named Ranked,Popularity,I,Popularity,I,"In the Popularity column, name the animes with the highest 3 values in descending order ",18,Mobile Phone,17,King Ranking,28,First Stage,Completed,D,"In the Completed column, calculate a rough estimate of the average value",28.896551724137932,G,Watching,16,15,1,"In the Watching column, find the anime with a value equal to 15",Helping Alice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2_anime_plain2.png,34,2,anime,plain,2,"Plan
 to Watch",I,70,"In the Plan
 to Watch column, count how many entries exceed the value of 70",6,Dropped,C,Determine which of the last 5 columns are positively correlated with the column named Dropped,Members,L,Members,L,"In the Members column, name the animes with the highest 3 values in descending order ",12,Cursing Notebook,18,Best Humanity,4,Magical Warfare,Ranked,F,"In the Ranked column, calculate a rough estimate of the average value",62.37931034482759,H,On-Hold,20,26,1,"In the On-Hold column, find the anime with a value equal to 26",Attacking Titan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G,88,"In the Popularity column, count how many entries exceed the value of 88",5,"Plan
 to Watch",C,"Determine which of the last 5 columns are positively correlated with the column named Plan
 to Watch",Watching,K,Ranked,J,"In the Ranked column, name the animes with the highest 3 values in descending order ",5,Ultra Generation,10,Connect Angel,11,Magical Warfare,Completed,E,"In the Completed column, calculate a rough estimate of the average value",37.86206896551724,I,On-Hold,16,17,1,"In the On-Hold column, find the anime with a value equal to 17",Ultimate horror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K,43,"In the Score column, count how many entries exceed the value of 43",8,Episodes,C,Determine which of the last 5 columns are positively correlated with the column named Episodes,Popularity,J,Score,K,"In the Score column, name the animes with the highest 3 values in descending order ",6,Ultra Generation,24,Mobile Phone,22,Ultimate horror,Members,G,"In the Members column, calculate a rough estimate of the average value",47.6551724137931,J,Popularity,18,12,1,"In the Popularity column, find the anime with a value equal to 12",Helping Alice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I,57,"In the Potassium column, count how many entries exceed the value of 57",8,Protein,C,Determine which of the last 5 columns are positively correlated with the column named Protein,Sodium,K,Carbo,H,"In the Carbo column, name the cereals with the highest 3 values in descending order ",5,Oatmeal Crisp,19,Wheat Cream,20,Grape Flakes,Sugars,F,"In the Sugars column, calculate a rough estimate of the average value",56.93103448275862,K,Sodium,17,51,1,"In the Sodium column, find the cereal with a value equal to 51",Bran Chex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H,70,"In the Carbo column, count how many entries exceed the value of 70",5,Vitamins,C,Determine which of the last 5 columns are positively correlated with the column named Vitamins,Potassium,I,Potassium,I,"In the Potassium column, name the cereals with the highest 3 values in descending order ",22,Corn Favorite,3,Frosted Flakes,7,Natural Bran,Score,E,"In the Score column, calculate a rough estimate of the average value",42.10344827586207,H,Carbo,19,32,1,"In the Carbo column, find the cereal with a value equal to 32",Double Chex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J,45,"In the Score column, count how many entries exceed the value of 45",6,Fiber,C,Determine which of the last 5 columns are positively correlated with the column named Fiber,Score,J,Iron,K,"In the Iron column, name the cereals with the highest 3 values in descending order ",18,Almond Delight,15,Honey Nut,23,Wonderful Chex,Vitamins,D,"In the Vitamins column, calculate a rough estimate of the average value",35.62068965517241,I,Protein,17,83,1,"In the Protein column, find the cereal with a value equal to 83",Smile Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K,60,"In the Vitamins column, count how many entries exceed the value of 60",7,Sugars,C,Determine which of the last 5 columns are positively correlated with the column named Sugars,Fiber,L,Score,J,"In the Score column, name the cereals with the highest 3 values in descending order ",19,Bran Chex,28,Cinnamon Toast,15,Double Chex,Potassium,E,"In the Potassium column, calculate a rough estimate of the average value",52.310344827586206,K,Vitamins,20,26,1,"In the Vitamins column, find the cereal with a value equal to 26",Frosted Flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K,66,"In the Fruity column, count how many entries exceed the value of 66",5,Hard,C,Determine which of the last 5 columns are positively correlated with the column named Hard,Chocolate,L,Bar,J,"In the Bar column, name the candys with the highest 3 values in descending order ",25,Good Bar,22,Root Barrels,5,Haribo Cola,Caramel,G,"In the Caramel column, calculate a rough estimate of the average value",37.86206896551724,J,Bar,19,32,1,"In the Bar column, find the candy with a value equal to 32",Fun Dips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J,38,"In the Rating column, count how many entries exceed the value of 38",8,"Sugar
Percent",C,"Determine which of the last 5 columns are positively correlated with the column named Sugar
Percent",Rating,J,Nougat,L,"In the Nougat column, name the candys with the highest 3 values in descending order ",26,Now Later,11,Caramel Apple,20,Crunch Time,Almond,D,"In the Almond column, calculate a rough estimate of the average value",35.62068965517241,K,Chocolate,17,68,1,"In the Chocolate column, find the candy with a value equal to 68",Root Barrels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G,50,"In the Pluribus column, count how many entries exceed the value of 50",7,Rating,C,Determine which of the last 5 columns are positively correlated with the column named Rating,Chocolate,K,Chocolate,K,"In the Chocolate column, name the candys with the highest 3 values in descending order ",5,Gob Stopper,28,Junior Mints,27,Pop Rocks,Caramel,F,"In the Caramel column, calculate a rough estimate of the average value",50.241379310344826,L,Almond,11,26,1,"In the Almond column, find the candy with a value equal to 26",Reese Pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I,57,"In the Nougat column, count how many entries exceed the value of 57",6,Hard,C,Determine which of the last 5 columns are positively correlated with the column named Hard,Nougat,I,Nougat,I,"In the Nougat column, name the candys with the highest 3 values in descending order ",28,Life Savers,23,Jaw Busters,29,Gold Bears,Fruity,G,"In the Fruity column, calculate a rough estimate of the average value",37.86206896551724,K,Caramel,15,15,1,"In the Caramel column, find the candy with a value equal to 15",Fruit Chews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H,70,"In the Hulu column, count how many entries exceed the value of 70",5,Naver,C,Determine which of the last 5 columns are positively correlated with the column named Naver,PluggedIn,I,PluggedIn,I,"In the PluggedIn column, name the movies with the highest 3 values in descending order ",21,About Elly,16,Black White,17,Divergent Series,Fandango,E,"In the Fandango column, calculate a rough estimate of the average value",52.310344827586206,J,"Rotten
Tomatoes",20,67,1,"In the Rotten
Tomatoes column, find the movie with a value equal to 67",Welcome Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
